week_date,artist,streams,is_umg,is_blackout
2024-08-08,Billie Eilish,177123176,1,0
2024-08-08,Noah Kahan,14324752,1,0
2024-08-08,Dua Lipa,17563312,0,0
2024-08-08,Travis Scott,35485162,0,0
2024-08-08,Ed Sheeran,0,0,0
2024-08-08,Miley Cyrus,10418197,0,0
2024-08-08,SZA,35582003,0,0
2024-08-08,Harry Styles,13751285,0,0
2024-08-08,Jack Harlow,0,0,0
2024-08-08,Tate McRae,12464685,0,0
2024-08-15,Billie Eilish,163170480,1,0
2024-08-15,Noah Kahan,14455973,1,0
2024-08-15,Dua Lipa,8690852,0,0
2024-08-15,Travis Scott,33669283,0,0
2024-08-15,Ed Sheeran,0,0,0
2024-08-15,Miley Cyrus,10050579,0,0
2024-08-15,SZA,35028493,0,0
2024-08-15,Harry Styles,12896340,0,0
2024-08-15,Jack Harlow,0,0,0
2024-08-15,Tate McRae,12290297,0,0
2024-08-22,Billie Eilish,156186633,1,0
2024-08-22,Noah Kahan,14482643,1,0
2024-08-22,Dua Lipa,8847656,0,0
2024-08-22,Travis Scott,33288243,0,0
2024-08-22,Ed Sheeran,0,0,0
2024-08-22,Miley Cyrus,10141053,0,0
2024-08-22,SZA,36514048,0,0
2024-08-22,Harry Styles,13144254,0,0
2024-08-22,Jack Harlow,0,0,0
2024-08-22,Tate McRae,12327679,0,0
2024-08-29,Billie Eilish,153246375,1,0
2024-08-29,Noah Kahan,14065795,1,0
2024-08-29,Dua Lipa,0,0,0
2024-08-29,Travis Scott,34685916,0,0
2024-08-29,Ed Sheeran,0,0,0
2024-08-29,Miley Cyrus,10004998,0,0
2024-08-29,SZA,35023801,0,0
2024-08-29,Harry Styles,12490007,0,0
2024-08-29,Jack Harlow,0,0,0
2024-08-29,Tate McRae,12170547,0,0
2024-09-05,Billie Eilish,145938580,1,0
2024-09-05,Noah Kahan,13144761,1,0
2024-09-05,Dua Lipa,0,0,0
2024-09-05,Travis Scott,33174470,0,0
2024-09-05,Ed Sheeran,0,0,0
2024-09-05,Miley Cyrus,9509793,0,0
2024-09-05,SZA,33902710,0,0
2024-09-05,Harry Styles,12293049,0,0
2024-09-05,Jack Harlow,0,0,0
2024-09-05,Tate McRae,11654138,0,0
2024-09-12,Billie Eilish,142411982,1,0
2024-09-12,Noah Kahan,12936248,1,0
2024-09-12,Dua Lipa,0,0,0
2024-09-12,Travis Scott,26503266,0,0
2024-09-12,Ed Sheeran,0,0,0
2024-09-12,Miley Cyrus,9350920,0,0
2024-09-12,SZA,34437888,0,0
2024-09-12,Harry Styles,12079360,0,0
2024-09-12,Jack Harlow,0,0,0
2024-09-12,Tate McRae,11247246,0,0
2024-09-19,Billie Eilish,140742163,1,0
2024-09-19,Noah Kahan,13302242,1,0
2024-09-19,Dua Lipa,0,0,0
2024-09-19,Travis Scott,48231077,0,0
2024-09-19,Ed Sheeran,9848321,0,0
2024-09-19,Miley Cyrus,9317062,0,0
2024-09-19,SZA,34746290,0,0
2024-09-19,Harry Styles,11550320,0,0
2024-09-19,Jack Harlow,0,0,0
2024-09-19,Tate McRae,29482775,0,0
2024-09-26,Billie Eilish,138662954,1,0
2024-09-26,Noah Kahan,13130557,1,0
2024-09-26,Dua Lipa,0,0,0
2024-09-26,Travis Scott,29153433,0,0
2024-09-26,Ed Sheeran,9939026,0,0
2024-09-26,Miley Cyrus,9139546,0,0
2024-09-26,SZA,34565517,0,0
2024-09-26,Harry Styles,11189340,0,0
2024-09-26,Jack Harlow,0,0,0
2024-09-26,Tate McRae,26568853,0,0
2024-10-03,Billie Eilish,149439240,1,0
2024-10-03,Noah Kahan,12948689,1,0
2024-10-03,Dua Lipa,0,0,0
2024-10-03,Travis Scott,39089973,0,0
2024-10-03,Ed Sheeran,28650625,0,0
2024-10-03,Miley Cyrus,10359923,0,0
2024-10-03,SZA,34777644,0,0
2024-10-03,Harry Styles,11346190,0,0
2024-10-03,Jack Harlow,0,0,0
2024-10-03,Tate McRae,23224154,0,0
2024-10-10,Billie Eilish,148665924,1,0
2024-10-10,Noah Kahan,13172337,1,0
2024-10-10,Dua Lipa,0,0,0
2024-10-10,Travis Scott,51144656,0,0
2024-10-10,Ed Sheeran,32039507,0,0
2024-10-10,Miley Cyrus,12336561,0,0
2024-10-10,SZA,45130722,0,0
2024-10-10,Harry Styles,11444797,0,0
2024-10-10,Jack Harlow,0,0,0
2024-10-10,Tate McRae,22262189,0,0
2024-10-17,Billie Eilish,137115040,1,0
2024-10-17,Noah Kahan,12358575,1,0
2024-10-17,Dua Lipa,0,0,0
2024-10-17,Travis Scott,49342648,0,0
2024-10-17,Ed Sheeran,29744396,0,0
2024-10-17,Miley Cyrus,11681911,0,0
2024-10-17,SZA,53680814,0,0
2024-10-17,Harry Styles,11063962,0,0
2024-10-17,Jack Harlow,0,0,0
2024-10-17,Tate McRae,20634625,0,0
2024-10-24,Billie Eilish,134822006,1,0
2024-10-24,Noah Kahan,12000809,1,0
2024-10-24,Dua Lipa,0,0,0
2024-10-24,Travis Scott,48354646,0,0
2024-10-24,Ed Sheeran,29569733,0,0
2024-10-24,Miley Cyrus,11652509,0,0
2024-10-24,SZA,52681108,0,0
2024-10-24,Harry Styles,12138496,0,0
2024-10-24,Jack Harlow,0,0,0
2024-10-24,Tate McRae,10194592,0,0
2024-10-31,Billie Eilish,121585033,1,0
2024-10-31,Noah Kahan,10988870,1,0
2024-10-31,Dua Lipa,0,0,0
2024-10-31,Travis Scott,48337928,0,0
2024-10-31,Ed Sheeran,29600878,0,0
2024-10-31,Miley Cyrus,11860535,0,0
2024-10-31,SZA,35576482,0,0
2024-10-31,Harry Styles,11423308,0,0
2024-10-31,Jack Harlow,0,0,0
2024-10-31,Tate McRae,9920010,0,0
2024-11-07,Billie Eilish,125087943,1,0
2024-11-07,Noah Kahan,10688337,1,0
2024-11-07,Dua Lipa,0,0,0
2024-11-07,Travis Scott,36044554,0,0
2024-11-07,Ed Sheeran,29981586,0,0
2024-11-07,Miley Cyrus,11296449,0,0
2024-11-07,SZA,41959465,0,0
2024-11-07,Harry Styles,10704411,0,0
2024-11-07,Jack Harlow,0,0,0
2024-11-07,Tate McRae,9281989,0,0
2024-11-14,Billie Eilish,140546406,1,0
2024-11-14,Noah Kahan,11553247,1,0
2024-11-14,Dua Lipa,0,0,0
2024-11-14,Travis Scott,35376185,0,0
2024-11-14,Ed Sheeran,31816635,0,0
2024-11-14,Miley Cyrus,11657360,0,0
2024-11-14,SZA,32010691,0,0
2024-11-14,Harry Styles,10955377,0,0
2024-11-14,Jack Harlow,0,0,0
2024-11-14,Tate McRae,9953641,0,0
2024-11-21,Billie Eilish,121313452,1,0
2024-11-21,Noah Kahan,11151518,1,0
2024-11-21,Dua Lipa,0,0,0
2024-11-21,Travis Scott,34084563,0,0
2024-11-21,Ed Sheeran,31657413,0,0
2024-11-21,Miley Cyrus,11256174,0,0
2024-11-21,SZA,33475214,0,0
2024-11-21,Harry Styles,11032019,0,0
2024-11-21,Jack Harlow,0,0,0
2024-11-21,Tate McRae,35256736,0,0
2024-11-28,Billie Eilish,107627909,1,0
2024-11-28,Noah Kahan,10966523,1,0
2024-11-28,Dua Lipa,0,0,0
2024-11-28,Travis Scott,32791620,0,0
2024-11-28,Ed Sheeran,31063509,0,0
2024-11-28,Miley Cyrus,11454589,0,0
2024-11-28,SZA,111395671,0,0
2024-11-28,Harry Styles,10775785,0,0
2024-11-28,Jack Harlow,0,0,0
2024-11-28,Tate McRae,21310303,0,0
2024-12-05,Billie Eilish,107088110,1,0
2024-12-05,Noah Kahan,11312950,1,0
2024-12-05,Dua Lipa,0,0,0
2024-12-05,Travis Scott,23433423,0,0
2024-12-05,Ed Sheeran,31115490,0,0
2024-12-05,Miley Cyrus,10772845,0,0
2024-12-05,SZA,100968243,0,0
2024-12-05,Harry Styles,10637398,0,0
2024-12-05,Jack Harlow,0,0,0
2024-12-05,Tate McRae,10181052,0,0
2024-12-12,Billie Eilish,107701978,1,0
2024-12-12,Noah Kahan,11985065,1,0
2024-12-12,Dua Lipa,0,0,0
2024-12-12,Travis Scott,23702022,0,0
2024-12-12,Ed Sheeran,31450417,0,0
2024-12-12,Miley Cyrus,10183690,0,0
2024-12-12,SZA,96464727,0,0
2024-12-12,Harry Styles,9922938,0,0
2024-12-12,Jack Harlow,0,0,0
